iter	Passed	Remaining
0	109	109222
1	112	56234
2	115	38378
3	119	29866
4	122	24455
5	126	20906
6	128	18256
7	131	16265
8	134	14755
9	136	13489
10	140	12619
11	142	11767
12	145	11030
13	148	10429
14	150	9877
15	153	9416
16	155	8996
17	158	8622
18	160	8303
19	163	8000
20	165	7719
21	168	7484
22	170	7258
23	173	7068
24	176	6881
25	178	6696
26	181	6533
27	183	6369
28	185	6213
29	188	6090
30	190	5967
31	193	5846
32	196	5752
33	198	5649
34	201	5547
35	204	5465
36	206	5375
37	209	5293
38	211	5214
39	213	5133
40	216	5074
41	219	5003
42	222	4942
43	225	4888
44	227	4826
45	230	4775
46	232	4720
47	235	4664
48	238	4627
49	240	4577
50	243	4525
51	245	4482
52	248	4434
53	251	4409
54	254	4367
55	256	4324
56	260	4309
57	262	4269
58	265	4231
59	267	4193
60	269	4153
61	272	4120
62	275	4095
63	277	4060
64	280	4039
65	283	4008
66	285	3976
67	288	3955
68	291	3927
69	293	3897
70	296	3879
71	298	3851
72	301	3824
73	303	3801
74	306	3775
75	308	3749
76	310	3726
77	313	3702
78	315	3678
79	318	3660
80	320	3639
81	323	3618
82	324	3585
83	327	3565
84	329	3546
85	332	3530
86	334	3512
87	337	3493
88	339	3479
89	342	3459
90	344	3441
91	347	3425
92	349	3409
93	351	3392
94	354	3378
95	356	3360
96	358	3341
97	361	3324
98	363	3310
99	365	3293
100	368	3282
101	371	3268
102	373	3252
103	376	3247
104	379	3231
105	381	3220
106	385	3219
107	388	3205
108	391	3204
109	394	3193
110	397	3179
111	400	3175
112	402	3162
113	405	3150
114	407	3139
115	410	3126
116	412	3111
117	414	3101
118	417	3089
119	419	3077
120	422	3067
121	424	3052
122	426	3041
123	429	3031
124	431	3020
125	434	3010
126	436	3001
127	439	2991
128	441	2981
129	444	2972
130	446	2961
131	448	2951
132	451	2942
133	453	2932
134	456	2922
135	458	2913
136	461	2904
137	463	2897
138	466	2889
139	469	2884
140	474	2889
141	476	2876
142	478	2867
143	482	2867
144	487	2874
145	490	2868
146	495	2876
147	498	2870
148	504	2879
149	509	2887
150	512	2882
151	517	2886
152	520	2883
153	526	2889
154	533	2908
155	536	2902
156	541	2907
157	545	2906
158	549	2908
159	553	2907
160	556	2900
161	559	2893
162	562	2886
163	565	2881
164	569	2883
165	572	2877
166	575	2871
167	579	2868
168	582	2863
169	586	2861
170	590	2860
171	593	2858
172	597	2855
173	600	2848
174	602	2839
175	605	2835
176	608	2829
177	611	2823
178	614	2817
179	616	2809
180	619	2804
181	622	2798
182	625	2791
183	628	2785
184	630	2777
185	633	2770
186	635	2764
187	638	2757
188	641	2751
189	643	2744
190	646	2737
191	650	2736
192	652	2729
193	655	2724
194	658	2717
195	660	2709
196	663	2703
197	665	2696
198	668	2689
199	671	2685
200	673	2678
201	676	2672
202	679	2668
203	682	2662
204	684	2656
205	687	2650
206	690	2643
207	692	2638
208	695	2632
209	698	2626
210	701	2622
211	703	2616
212	706	2609
213	709	2605
214	711	2599
215	714	2594
216	717	2588
217	719	2581
218	722	2577
219	725	2571
220	727	2565
221	730	2561
222	733	2555
223	736	2550
224	738	2544
225	741	2539
226	744	2534
227	746	2528
228	749	2522
229	752	2518
230	754	2512
231	757	2506
232	760	2502
233	762	2497
234	765	2492
235	768	2486
236	770	2480
237	772	2474
238	775	2469
239	778	2463
240	780	2457
241	783	2452
242	785	2446
243	787	2440
244	790	2435
245	792	2429
246	794	2423
247	797	2418
248	799	2412
249	802	2407
250	805	2402
251	807	2397
252	810	2391
253	812	2386
254	814	2381
255	817	2375
256	819	2370
257	822	2364
258	824	2359
259	827	2354
260	829	2349
261	831	2343
262	834	2338
263	836	2333
264	841	2334
265	843	2328
266	845	2321
267	847	2316
268	850	2311
269	852	2305
270	855	2301
271	858	2296
272	860	2290
273	862	2284
274	864	2279
275	867	2274
276	871	2275
277	874	2270
278	878	2270
279	880	2264
280	882	2258
281	884	2252
282	887	2248
283	889	2242
284	891	2237
285	894	2233
286	896	2227
287	899	2222
288	901	2218
289	903	2212
290	907	2210
291	909	2206
292	912	2201
293	915	2197
294	917	2193
295	920	2188
296	924	2187
297	926	2182
298	929	2179
299	932	2175
300	935	2171
301	937	2167
302	940	2164
303	943	2160
304	946	2155
305	948	2151
306	951	2148
307	954	2145
308	957	2142
309	960	2138
310	963	2134
311	966	2130
312	968	2125
313	970	2121
314	973	2116
315	976	2113
316	978	2108
317	983	2108
318	985	2103
319	988	2099
320	992	2098
321	994	2094
322	997	2091
323	1000	2087
324	1005	2087
325	1008	2084
326	1011	2081
327	1014	2077
328	1016	2073
329	1020	2072
330	1023	2069
331	1027	2066
332	1029	2062
333	1032	2058
334	1035	2055
335	1037	2050
336	1040	2047
337	1043	2044
338	1046	2040
339	1049	2036
340	1051	2032
341	1054	2027
342	1056	2024
343	1059	2021
344	1062	2016
345	1064	2012
346	1067	2008
347	1071	2007
348	1074	2004
349	1077	2000
350	1080	1997
351	1082	1993
352	1085	1989
353	1088	1986
354	1090	1982
355	1093	1978
356	1096	1975
357	1099	1971
358	1102	1968
359	1104	1963
360	1108	1962
361	1111	1958
362	1113	1954
363	1116	1950
364	1120	1949
365	1125	1948
366	1129	1947
367	1133	1945
368	1136	1942
369	1139	1939
370	1141	1936
371	1144	1931
372	1147	1929
373	1150	1924
374	1152	1920
375	1155	1917
376	1159	1915
377	1163	1915
378	1166	1911
379	1169	1908
380	1172	1904
381	1174	1899
382	1177	1896
383	1179	1892
384	1181	1887
385	1185	1885
386	1187	1881
387	1190	1877
388	1193	1874
389	1195	1869
390	1197	1865
391	1200	1862
392	1203	1858
393	1205	1854
394	1208	1850
395	1210	1846
396	1214	1844
397	1217	1841
398	1220	1837
399	1222	1834
400	1225	1830
401	1230	1830
402	1233	1827
403	1236	1823
404	1238	1819
405	1241	1815
406	1243	1812
407	1246	1808
408	1249	1805
409	1251	1801
410	1254	1797
411	1256	1793
412	1259	1790
413	1261	1786
414	1265	1783
415	1267	1779
416	1270	1775
417	1272	1771
418	1275	1767
419	1277	1763
420	1279	1759
421	1282	1756
422	1284	1752
423	1287	1748
424	1289	1745
425	1292	1741
426	1294	1737
427	1297	1733
428	1299	1729
429	1301	1725
430	1304	1722
431	1306	1718
432	1309	1714
433	1311	1710
434	1314	1707
435	1316	1702
436	1318	1699
437	1321	1695
438	1323	1691
439	1326	1688
440	1328	1684
441	1330	1680
442	1333	1676
443	1335	1672
444	1337	1668
445	1340	1665
446	1342	1661
447	1344	1657
448	1347	1653
449	1349	1649
450	1351	1645
451	1354	1641
452	1356	1638
453	1358	1634
454	1361	1630
455	1363	1626
456	1365	1622
457	1368	1619
458	1370	1615
459	1372	1611
460	1375	1608
461	1378	1604
462	1380	1601
463	1382	1597
464	1385	1594
465	1388	1590
466	1390	1586
467	1393	1583
468	1395	1579
469	1397	1575
470	1400	1572
471	1402	1569
472	1405	1565
473	1408	1562
474	1410	1559
475	1412	1555
476	1415	1552
477	1418	1548
478	1420	1545
479	1423	1541
480	1425	1538
481	1427	1534
482	1430	1531
483	1432	1527
484	1435	1523
485	1437	1520
486	1440	1517
487	1442	1513
488	1445	1510
489	1447	1506
490	1450	1503
491	1452	1499
492	1455	1496
493	1457	1492
494	1460	1489
